Titolo;Anno;Incasso ($);Franchise;Ambientazione;Tipo;Tomatometer (%);Popcornmeter (%);Classico
Mighty Joe Young;1998;50632037;Disney;United States of America;Live Action;54;41;No
Angels in the Outfield;1994;50236831;Disney;United States of America;Live Action;31;49;No
Winnie the Pooh;2011;50145607;Disney;United Kingdom;Animation;90;80;Yes
The Prince and the Pauper;1990;50000000;Disney;United Kingdom;Animation;76;70;No
Mickey's Twice Upon a Christmas;2004;50000000;Disney;Null;Animation;Null;61;No
Popeye;1980;49823037;Disney;Null;Live Action;60;39;No
The Finest Hours;2016;49252761;Disney;United States of America;Live Action;63;66;No
The Rescuers;1977;48775599;Disney;Australia;Animation;79;68;Yes
The Rescuers down Under;1990;47431461;Disney;Australia;Animation;85;68;Yes
The Little Mermaid II: Return to the Sea;2000;46000000;Disney;Null;Animation;Null;45;No
D2: The Mighty Ducks;1994;45604206;Disney;United States of America;Live Action;20;59;No
Recess: School's Out;2001;44451470;Disney;United States of America;Animation;59;56;No
The Fox and the Hound;1981;43899231;Disney;United States of America;Animation;75;78;Yes
Glory Road;2006;42799060;Disney;United States of America;Live Action;55;81;No
Homeward Bound: The Incredible Journey;1993;41833324;Disney;United States of America;Live Action;87;71;No
Man of the House;1995;40029009;Disney;United States of America;Live Action;13;33;No
Swiss Family Robinson;1960;40000000;Disney;Caribbean;Live Action;81;78;No
Mars Needs Moms;2011;39549758;Disney;Null;Animation;35;40;No
My Favorite Martian;1999;36850101;Disney;United States of America;Live Action;12;31;No
The Black Hole;1979;35841901;Disney;Null;Live Action;41;46;No
A Goofy Movie;1995;35336439;Disney;United States of America;Animation;59;71;No
Pocahontas II: Journey to a New World;1998;35000000;Disney;United Kingdom;Animation;29;28;No
White Fang;1991;34729091;Disney;United States of America;Live Action;67;63;No
Muppet Treasure Island;1996;34327391;Disney;Null;Live Action;71;77;No
The Sword in the Stone;1963;34182353;Disney;United Kingdom;Animation;66;73;Yes
Homeward Bound II: Lost in San Francisco;1996;32709423;Disney;United States of America;Live Action;56;44;No
Robin Hood;1973;32056467;Disney;United Kingdom;Animation;58;81;Yes
The Apple Dumpling Gang;1975;31916500;Disney;United States of America;Live Action;56;60;No
Herbie Rides Again;1974;31765098;Disney;United States of America;Live Action;83;54;No
The Muppet Christmas Carol;1992;31724550;Disney;United Kingdom;Live Action;78;86;No
The Many Adventures of Winnie the Pooh;1977;31500000;Disney;Null;Animation;100;87;Yes
Blank Check;1994;30700000;Disney;United States of America;Live Action;9;35;No
Beauty and the Beast: The Enchanted Christmas;1997;30000000;Disney;France;Animation;11;55;No
Mickey's Magical Christmas: Snowed in at the House of Mouse;2001;30000000;Disney;Null;Animation;Null;62;No
Mickey, Donald, Goofy: The Three Musketeers;2004;30000000;Disney;France;Animation;42;51;No
Inspector Gadget 2;2003;30000000;Disney;Null;Live Action;40;23;No
Where The Red Fern Grows;2003;30000000;Disney;United States of America;Live Action;Null;67;No
Air Bud;1997;29175259;Disney;United States of America;Live Action;48;38;No
Mr. Magoo;1997;28937192;Disney;United States of America;Live Action;9;24;No
James and the Giant Peach;1996;28921264;Disney;Null;Animation;91;66;No
20,000 Leagues Under the Sea;1954;28200000;Disney;Null;Live Action;90;74;No
The Shaggy D.A.;1976;28200000;Disney;United States of America;Live Action;50;40;No
Herbie Goes to Monte Carlo;1977;28000000;Disney;France;Live Action;60;57;No
Never Cry Wolf;1984;27668764;Disney;Canada;Live Action;100;84;No
First Kid;1996;26465920;Disney;United States of America;Live Action;20;32;No
Freaky Friday;1976;25942000;Disney;United States of America;Live Action;71;57;No
Ice Princess;2005;25732334;Disney;United States of America;Live Action;52;58;No
The Hunchback of Notre Dame II;2002;25000000;Disney;France;Animation;22;27;No
The Absent Minded Professor;1961;25000000;Disney;United States of America;Live Action;83;63;No
The Parent Trap;1961;25000000;Disney;United States of America;Live Action;89;75;No
Operation Dumbo Drop;1995;24670346;Disney;United States of America;Live Action;26;29;No
The Cat from Outer Space;1978;24500000;Disney;United States of America;Live Action;67;59;No
The Adventures of Huck Finn;1993;24103594;Disney;United States of America;Live Action;75;50;No
Tom and Huck;1995;23837227;Disney;United States of America;Live Action;25;42;No
The Great Mouse Detective;1986;23605534;Disney;United Kingdom;Animation;78;79;Yes
D3: The Mighty Ducks;1996;22936273;Disney;United States of America;Live Action;20;45;No
Son of Flubber;1963;22129412;Disney;United States of America;Live Action;88;46;No
Mickey's Once Upon a Christmas;1999;22000000;Disney;Null;Animation;50;67;No
Gus;1976;21873000;Disney;United States of America;Live Action;Null;57;No
Turning Red;2022;21521622;Pixar;Canada;Animation;95;67;No
The Black Cauldron;1985;21288692;Disney;Null;Animation;56;48;Yes
Tower of Terror;1997;21000000;Disney;United States of America;Live Action;Null;53;No
Iron Will;1994;20623071;Disney;United States of America;Live Action;67;66;No
The Apple Dumpling Gang Rides Again;1979;20500000;Disney;United States of America;Live Action;Null;53;No
Honey, We Shrunk Ourselves;1997;20300000;Disney;United States of America;Live Action;25;27;No
The Strongest Man in the World;1975;20000000;Disney;United States of America;Live Action;Null;38;No
Doug's, 1st Movie;1999;19421271;Disney;Null;Animation;28;28;No
Tuck Everlasting;2002;19344615;Disney;United States of America;Live Action;60;70;No
Davy Crockett: King of the Wild Frontier;1955;19000000;Disney;United States of America;Live Action;100;77;No
Flight of the Navigator;1986;18564613;Disney;United States of America;Live Action;85;75;No
That Darn Cat;1997;18301828;Disney;United States of America;Live Action;13;24;No
I'll Be Home for Christmas;1998;18300000;Disney;United States of America;Live Action;23;41;No
DuckTales: The Movie - Treasure of the Lost Lamp;1990;18075331;Disney;Egypt;Animation;100;69;No
An Extremely Goofy Movie;2000;18000000;Disney;United States of America;Animation;63;49;No
The Computer Wore Tennis Shoes;1969;18000000;Disney;United States of America;Live Action;57;41;No
Bedknobs and Broomsticks;1971;17900000;Disney;United Kingdom;Live Action;67;73;No
The Big Green;1995;17736619;Disney;United States of America;Live Action;0;46;No
Heavyweights;1995;17671310;Disney;United States of America;Live Action;50;77;No
Now You See Him, Now You Don't;1972;17200000;Disney;United States of America;Live Action;80;58;No
Herbie Goes Bananas;1980;17000000;Disney;Mexico;Live Action;40;36;No
The Country Bears;2002;16988996;Disney;United States of America;Live Action;29;34;No
Return from Witch Mountain;1978;16400000;Disney;United States of America;Live Action;55;39;No
The Devil and Max Devlin;1981;16000000;Disney;United States of America;Live Action;17;25;No
The Greatest Game Ever Played;2005;15468266;Disney;United States of America;Live Action;62;82;No
Rocketman;1997;15448043;Disney;United States of America;Live Action;20;72;No
Benji the Hunted;1987;15212539;Disney;Australia;Live Action;55;61;No
Haakon Haakonsen;1990;15024232;Disney;Australia;Live Action;Null;68;No
Buzz Lightyear of Star Command: The Adventure Begins;2000;15000000;Pixar;Null;Animation;Null;51;No
Tex;1982;13800000;Disney;United States of America;Live Action;85;65;No
A Kid in King Arthur's Court;1995;13747279;Disney;United Kingdom;Live Action;5;27;No
One Magic Christmas;1985;13229514;Disney;Canada;Live Action;47;68;No
Escape to Witch Mountain;1975;13000000;Disney;United States of America;Live Action;73;59;No
The Watcher in the Woods;1980;13000000;Disney;United States of America;Live Action;52;57;No
A Far Off Place;1993;12890752;Disney;United States of America;Live Action;42;69;No
The Incredible Journey;1963;12500000;Disney;Canada;Live Action;89;74;No
Blackbeard's Ghost;1968;12000000;Disney;United States of America;Live Action;82;71;No
