Titolo;Anno;Incasso ($);Franchise;Ambientazione;Tipo;Tomatometer (%);Popcornmeter (%);Classico
The Sign of Zorro;1958;3200000;Disney;United States of America;Live Action;Null;48;No
A Tiger Walks;1964;3000000;Disney;United States of America;Live Action;Null;54;No
The Littlest Horse Thieves;1976;3000000;Disney;United States of America;Live Action;Null;75;No
Midnight Madness;1980;2900000;Disney;United States of America;Live Action;Null;70;No
Newsies;1992;2706352;Disney;United States of America;Live Action;39;88;No
The Sword and the Rose;1953;2600000;Disney;United Kingdom;Live Action;Null;31;No
Make Mine Music;1946;2560000;Disney;Null;Animation;58;41;Yes
Miracle of the White Stallions;1963;2550000;Disney;Austria;Live Action;Null;71;No
The Adventures of Ichabod and Mr. Toad;1949;2500000;Disney;United Kingdom;Animation;88;71;Yes
Rob Roy, the Highland Rogue;1954;2500000;Disney;United Kingdom;Live Action;Null;35;No
The Great Locomotive Chase;1956;2500000;Disney;United States of America;Live Action;Null;57;No
Third Man on the Mountain;1959;2500000;Disney;United States of America;Live Action;Null;72;No
Ten Who Dared;1960;2500000;Disney;United States of America;Live Action;Null;22;No
Big Red;1962;2500000;Disney;United States of America;Live Action;Null;45;No
Savage Sam;1963;2500000;Disney;United States of America;Live Action;50;47;No
The Three Lives of Thomasina;1963;2500000;Disney;United Kingdom;Live Action;Null;73;No
The Biscuit Eater;1972;2500000;Disney;United States of America;Live Action;Null;48;No
Napoleon and Samantha;1972;2500000;Disney;United States of America;Live Action;Null;44;No
Nikki, Wild Dog of the North;1961;2300000;Disney;Canada;Live Action;Null;56;No
Charlie, the Lonesome Cougar;1967;2300000;Disney;United States of America;Live Action;Null;62;No
Johnny Tremain;1957;2100000;Disney;United States of America;Live Action;Null;49;No
The Brave Little Toaster Goes to Mars;1998;2000000;Disney;United States of America;Animation;50;45;No
Ride a Wild Pony;1976;1900000;Disney;Australia;Live Action;Null;60;No
Ride A Wild Pony;1977;1900000;Disney;United States of America;Live Action;Null;60;No
Bambi;1942;1647000;Disney;Null;Animation;91;73;Yes
The Fighting Prince of Donegal;1966;1600000;Disney;Ireland;Live Action;Null;17;No
Young Woman and the Sea;2024;1536322;Disney;United States of America;Live Action;88;96;No
The Brave Little Toaster;1987;1500000;Disney;United States of America;Animation;79;81;No
Tonka;1958;1500000;Disney;United States of America;Live Action;Null;67;No
Toby Tyler, or Ten Weeks with a Circus;1960;1500000;Disney;United States of America;Live Action;Null;67;No
Almost Angels;1962;1500000;Disney;United States of America;Live Action;Null;62;No
The Light in the Forest;1958;1400000;Disney;United States of America;Live Action;Null;42;No
So Dear to My Heart;1948;1300000;Disney;United States of America;Live Action;Null;50;No
Winnie the Pooh: A Very Merry Pooh Year;2002;1143512;Disney;Null;Animation;Null;71;No
The Littlest Outlaw;1955;1100000;Disney;United States of America;Live Action;85;46;No
The Reluctant Dragon;1941;960000;Disney;United Kingdom;Animation;100;66;No
Endurance;1999;229128;Disney;Ethiopia;Live Action;50;52;No
The Three Caballeros;1945;3355;Disney;Brazil;Animation;85;65;Yes
Fun and Fancy Free;1947;3165;Disney;United States of America;Animation;73;58;Yes
Saludos Amigos;1942;1135;Disney;Peru;Animation;82;40;Yes
